ngrams,total_words
are,1
you,1
working,1
work,1
up,1
the,1
tensorflow,1
statements,1
print,1
ngrams,1
ndid,1
my,1
model,1
it,1
ndo,1
fuck,1
even,1
for,1
faster,1
print statements,2
ndo my,2
the print,2
faster ndid,2
ndid the,2
working faster,2
statements fuck,2
my tensorflow,2
ngrams for,2
fuck it,2
my ngrams,2
for my,2
model even,2
tensorflow model,2
it up,2
are you,2
you working,2
even work,2
up ndo,2
tensorflow model even,3
up ndo my,3
print statements fuck,3
faster ndid the,3
statements fuck it,3
you working faster,3
ndo my ngrams,3
are you working,3
ndid the print,3
my tensorflow model,3
working faster ndid,3
my ngrams for,3
model even work,3
for my tensorflow,3
it up ndo,3
fuck it up,3
ngrams for my,3
the print statements,3
up ndo my ngrams,4
are you working faster,4
working faster ndid the,4
ngrams for my tensorflow,4
tensorflow model even work,4
statements fuck it up,4
print statements fuck it,4
faster ndid the print,4
ndo my ngrams for,4
ndid the print statements,4
my tensorflow model even,4
my ngrams for my,4
it up ndo my,4
for my tensorflow model,4
fuck it up ndo,4
the print statements fuck,4
you working faster ndid,4
